"bb_c [mm]","Freq [GHz]","dB(S(2,1)) []"
2.5,6.56,-18.9538025281211
2.5,6.6,-18.6569791443114
2.5,6.64,-18.8646708720142
2.5,6.68,-19.4619471953794
2.5,6.72,-20.4166972432493
2.5,6.76,-21.8452370550946
2.5,6.8,-23.9309834895311
2.5,6.84,-26.7173264115852
2.5,6.88,-29.5919607486966
2.5,6.92,-30.7587332088335
2.5,6.96,-29.9283007508485
2.5,7,-28.7865218667806
2.5,7.04,-28.0206776625987
2.5,7.08,-27.66349141182
2.5,7.12,-27.6376009271214
2.5,7.16,-27.8762111526899
2.5,7.2,-28.3366182011085
